Abeillia abeillei
Artamus leucorynchus
Artamus maximus
Artamus personatus
Artamus superciliosus
Artemisiospiza belli
Artemisiospiza nevadensis
Artisornis metopias
Artisornis moreaui
Arundinax aedon
Arundinicola leucocephala
Asemospiza fuliginosa
Asemospiza obscura
Asio clamator
Asio flammeus
Asio otus
Asio stygius
Aspatha gularis
Asthenes anthoides
Asthenes arequipae
Asthenes baeri
Asthenes coryi
Asthenes dorbignyi
Asthenes flammulata
Asthenes fuliginosa
Asthenes griseomurina
Asthenes harterti
Asthenes helleri
Asthenes heterura
Asthenes huancavelicae
Asthenes hudsoni
Asthenes maculicauda
Asthenes modesta
Asthenes moreirae
Asthenes ottonis
Asthenes palpebralis
Asthenes perijana
Asthenes pudibunda
Asthenes pyrrholeuca
Asthenes sclateri
Asthenes urubambensis
Asthenes virgata
Asthenes wyatti
Atalotriccus pilaris
Atelornis crossleyi
Atelornis pittoides
Athene blewitti
Athene brama
Athene cunicularia
Athene noctua
Athene superciliaris
Atimastillas flavicollis
Atlapetes albinucha
Atlapetes albofrenatus
Atlapetes crassus
Atlapetes flaviceps
Atlapetes fulviceps
Atlapetes fuscoolivaceus
Atlapetes latinuchus
Atlapetes leucopis
Atlapetes leucopterus
Atlapetes melanocephalus
Atlapetes melanolaemus
Atlapetes pallidiceps
Atlapetes pallidinucha
Atlapetes personatus
Atlapetes pileatus
Atlapetes rufigenis
Atlapetes rufinucha
Atlapetes schistaceus
Atlapetes seebohmi
Atlapetes semirufus
Atlapetes tibialis
Atlapetes tricolor
Atrichornis clamosus
Atrichornis rufescens
Attagis gayi
Atthis ellioti
Atthis heloisa
Atticora fasciata
Atticora pileata
Atticora tibialis
Attila bolivianus
Attila cinnamomeus
Attila citriniventris
Attila phoenicurus
Attila rufus
Attila spadiceus
Attila torridus
Augastes lumachella
Augastes scutatus
Aulacorhynchus albivitta
Aulacorhynchus atrogularis
Aulacorhynchus caeruleogularis
Aulacorhynchus coeruleicinctis
Aulacorhynchus derbianus
Aulacorhynchus haematopygus
Aulacorhynchus prasinus
Aulacorhynchus sulcatus
Auriparus flaviceps
Automolus exsertus
Automolus infuscatus
Automolus lammi
Automolus leucophthalmus
Automolus melanopezus
Automolus ochrolaemus
Automolus paraensis
Automolus rufipileatus
Automolus subulatus
Automolus virgatus
Aviceda subcristata
Aythya americana
Aythya collaris
Aythya ferina
Aythya fuligula
Aythya marila
Aythya nyroca
Aythya valisineria
Baeolophus atricristatus
Baeolophus bicolor
Baeolophus inornatus
Baeolophus ridgwayi
Baeolophus wollweberi
Baeopogon indicator
Balearica regulorum
Bambusicola fytchii
Bambusicola sonorivox
Bambusicola thoracicus
Bangsia aureocincta
Bangsia edwardsi
Bangsia melanochlamys
Bangsia rothschildi
Barnardius zonarius
Bartramia longicauda
Baryphthengus martii
Baryphthengus ruficapillus
Basileuterus belli
Basileuterus culicivorus
Basileuterus lachrymosus
Basileuterus melanogenys
Basileuterus melanotis
Basileuterus rufifrons
Basileuterus trifasciatus
Basileuterus tristriatus
Batara cinerea
Bathmocercus rufus
Batis capensis
Batis crypta
Batis erlangeri
Batis molitor
Batis orientalis
Batis perkeo
Batis pririt
Batrachostomus affinis
Batrachostomus auritus
Batrachostomus cornutus
Batrachostomus hodgsoni
Batrachostomus javensis
Batrachostomus moniliger
Batrachostomus septimus
Batrachostomus stellatus
Berenicornis comatus
Berlepschia rikeri
Bernieria madagascariensis
Bias musicus
Biatas nigropectus
Bleda canicapillus
Bleda notatus
Bleda syndactylus
Blythipicus pyrrhotis
Blythipicus rubiginosus
Boissonneaua flavescens
Boissonneaua jardini
Boissonneaua matthewsii
Bolborhynchus ferrugineifrons
Bolborhynchus lineola
Bolborhynchus orbygnesius
Bolemoreus frenatus
Bombycilla cedrorum
Bombycilla garrulus
Bombycilla japonica
Bonasa umbellus
Bostrychia hagedash
Bostrychia rara
Botaurus lentiginosus
Botaurus pinnatus
Botaurus stellaris
Brachygalba albogularis
Brachygalba lugubris
Brachypodius atriceps
Brachypodius eutilotus
Brachypodius priocephalus
Brachypodius urostictus
Brachypteryx cruralis
Brachypteryx goodfellowi
Brachypteryx hyperythra
Brachypteryx leucophris
Brachypteryx montana
Brachyramphus marmoratus
Bradornis microrhynchus
Bradypterus baboecala
Bradypterus bangwaensis
Bradypterus barratti
Bradypterus brunneus
Bradypterus cinnamomeus
Bradypterus lopezi
Bradypterus sylvaticus
Branta bernicla
Branta canadensis
Branta hutchinsii
Branta leucopsis
Branta sandvicensis
Brotogeris chiriri
Brotogeris chrysoptera
Brotogeris cyanoptera
Brotogeris jugularis
Brotogeris pyrrhoptera
Brotogeris sanctithomae
Brotogeris tirica
Brotogeris versicolurus
Bubalornis albirostris
Bubalornis niger
Bubo africanus
Bubo ascalaphus
Bubo bubo
Bubo lacteus
Bubo magellanicus
Bubo nipalensis
Bubo scandiacus
Bubo sumatranus
Bubo virginianus
Bubulcus ibis
Bucanetes githagineus
Buccanodon duchaillui
Bucco capensis
Bucco macrodactylus
Bucco tamatia
Bucephala albeola
Bucephala clangula
Bucephala islandica
Buceros bicornis
Buceros hydrocorax
Buceros rhinoceros
Bucorvus leadbeateri
Buphagus africanus
Buphagus erythrorynchus
Burhinus bistriatus
Burhinus capensis
Burhinus grallarius
Burhinus indicus
Burhinus oedicnemus
Burhinus senegalensis
Burhinus superciliaris
Burhinus vermiculatus
Busarellus nigricollis
Butastur indicus
Buteo albigula
Buteo albonotatus
Buteo augur
Buteo brachyurus
Buteo buteo
Buteo jamaicensis
Buteo japonicus
Buteo lagopus
Buteo lineatus
Buteo nitidus
Buteo plagiatus
Buteo platypterus
Buteo regalis
Buteo ridgwayi
Buteo rufinus
Buteo swainsoni
Buteogallus anthracinus
Buteogallus coronatus
Buteogallus meridionalis
Buteogallus schistaceus
Buteogallus urubitinga
Buthraupis montana
Buthraupis wetmorei
Butorides striata
Butorides virescens
Bycanistes albotibialis
Bycanistes brevis
Bycanistes bucinator
Bycanistes fistulator
Bycanistes subcylindricus
Cacatua ducorpsii
Cacatua galerita
Cacatua pastinator
Cacatua sanguinea
Cacatua tenuirostris
Cacicus cela
Cacicus chrysonotus
Cacicus chrysopterus
Cacicus haemorrhous
Cacicus latirostris
Cacicus leucoramphus
Cacicus microrhynchus
Cacicus oseryi
Cacicus solitarius
Cacicus uropygialis
Cacomantis castaneiventris
Cacomantis flabelliformis
Cacomantis leucolophus
Cacomantis merulinus
Cacomantis pallidus
Cacomantis passerinus
Cacomantis sepulcralis
Cacomantis sonneratii
Cacomantis variolosus
Cairina moschata
Calamanthus fuliginosus
Calamonastes simplex
Calamonastes stierlingi
Calamospiza melanocorys
Calandrella acutirostris
Calandrella brachydactyla
Calandrella cinerea
Calcarius lapponicus
Calcarius ornatus
Calcarius pictus
Calendulauda africanoides
Calendulauda albescens
Calendulauda alopex
Calendulauda poecilosterna
Calendulauda sabota
Calicalicus madagascariensis
Calicalicus rufocarpalis
Calidris acuminata
Calidris alba
Calidris alpina
Calidris bairdii
Calidris canutus
Calidris falcinellus
Calidris ferruginea
Calidris fuscicollis
Calidris himantopus
Calidris maritima
Calidris mauri
Calidris melanotos
Calidris minuta
Calidris minutilla
Calidris ptilocnemis
Calidris pugnax
Calidris pusilla
Calidris ruficollis
Calidris subminuta
Calidris temminckii
Calidris virgata
Caligavis chrysops
Callacanthis burtoni
Callaeas wilsoni
Calliope calliope
Calliope pectardens
Calliope pectoralis
Calliope tschebaiewi
Callipepla californica
Callipepla douglasii
Callipepla gambelii
Callipepla squamata
Callocephalon fimbriatum
Calocitta colliei
Calocitta formosa
Calonectris borealis
Calonectris diomedea
Caloperdix oculeus
Calothorax lucifer
Calypte anna
Calypte costae
Calyptomena viridis
Calyptomena whiteheadi
Calyptophilus frugivorus
Calyptophilus tertius
Calyptorhynchus banksii
Calyptorhynchus baudinii
Calyptorhynchus funereus
Calyptorhynchus lathami
Calyptorhynchus latirostris
Camaroptera brachyura
Camaroptera brevicaudata
Camaroptera chloronota
Camaroptera superciliaris
Campephaga flava
Campephaga quiscalina
Campephilus gayaquilensis
Campephilus guatemalensis
Campephilus haematogaster
Campephilus leucopogon
Campephilus magellanicus
Campephilus melanoleucos
Campephilus pollens
Campephilus robustus
Campephilus rubricollis
Campethera abingoni
Campethera nubica
Campochaera sloetii
Camptostoma imberbe
Camptostoma obsoletum
Campylopterus curvipennis
Campylopterus excellens
Campylopterus falcatus
Campylopterus hemileucurus
Campylopterus largipennis
Campylopterus rufus
Campylopterus villaviscensio
Campylorhamphus falcularius
Campylorhamphus procurvoides
Campylorhamphus pusillus
Campylorhamphus trochilirostris
Campylorhynchus albobrunneus
Campylorhynchus brunneicapillus
Campylorhynchus capistratus
Campylorhynchus chiapensis
Campylorhynchus fasciatus
Campylorhynchus griseus
Campylorhynchus gularis
Campylorhynchus humilis
Campylorhynchus jocosus
Campylorhynchus megalopterus
Campylorhynchus nuchalis
Campylorhynchus rufinucha
Campylorhynchus turdinus
Campylorhynchus yucatanicus
Campylorhynchus zonatus
Cantorchilus elutus
Cantorchilus griseus
Cantorchilus guarayanus
Cantorchilus leucopogon
Cantorchilus leucotis
Cantorchilus longirostris
Cantorchilus modestus
Cantorchilus nigricapillus
Cantorchilus semibadius
Cantorchilus superciliaris
Cantorchilus thoracicus
Capito auratus
Capito aurovirens
Capito dayi
Capito hypoleucus
Capito quinticolor
Capito squamatus
Capito wallacei
Caprimulgus affinis
Caprimulgus asiaticus
Caprimulgus atripennis
Caprimulgus binotatus
Caprimulgus clarus
Caprimulgus climacurus
Caprimulgus europaeus
Caprimulgus fossii
Caprimulgus indicus
Caprimulgus jotaka
Caprimulgus macrurus
Caprimulgus madagascariensis
Caprimulgus manillensis
Caprimulgus natalensis
Caprimulgus nigriscapularis
Caprimulgus pectoralis
Caprimulgus poliocephalus
Caprimulgus pulchellus
Caprimulgus ruficollis
Caprimulgus rufigena
Caprimulgus tristigma
Capsiempis flaveola
Caracara cheriway
Caracara plancus
Cardellina canadensis
Cardellina pusilla
Cardellina rubra
Cardellina rubrifrons
Cardellina versicolor
Cardinalis cardinalis
Cardinalis phoeniceus
Cardinalis sinuatus
Carduelis carduelis
Carduelis citrinella
Carduelis corsicana
Cariama cristata
Carpococcyx radiceus
Carpococcyx renauldi
Carpodacus dubius
Carpodacus erythrinus
Carpodacus puniceus
Carpodacus rodochroa
Carpodacus rubicilla
Carpodacus rubicilloides
Carpodacus sibiricus
Carpodacus synoicus
Carpornis cucullata
Carpornis melanocephala
Carpospiza brachydactyla
Carterornis chrysomela
Carterornis leucotis
Carterornis pileatus
Caryothraustes canadensis
Caryothraustes poliogaster
Casiornis rufus
Cassiculus melanicterus
Castanozoster thoracicus
Casuarius casuarius
Catamblyrhynchus diadema
Catamenia analis
Catamenia homochroa
Catamenia inornata
Cathartes aura
Catharus aurantiirostris
Catharus bicknelli
Catharus dryas
Catharus frantzii
Catharus fuscater
Catharus fuscescens
Catharus gracilirostris
Catharus guttatus
Catharus maculatus
Catharus mexicanus
Catharus minimus
Catharus occidentalis
Catharus ustulatus
Catherpes mexicanus
Cecropis abyssinica
Cecropis cucullata
Cecropis daurica
Cecropis semirufa
Cecropis striolata
Celeus castaneus
Celeus elegans
Celeus flavescens
Celeus flavus
Celeus galeatus
Celeus grammicus
Celeus loricatus
Celeus lugubris
Celeus obrieni
Celeus ochraceus
Celeus spectabilis
Celeus torquatus
Celeus undatus
Centrocercus urophasianus
Centronyx bairdii
Centronyx henslowii
Centropus andamanensis
Centropus bengalensis
Centropus burchellii
Centropus celebensis
Centropus chlororhynchos
Centropus goliath
Centropus leucogaster
Centropus melanops
Centropus menbeki
Centropus milo
Centropus monachus
Centropus phasianinus
Centropus rectunguis
Centropus senegalensis
Centropus sinensis
Centropus superciliosus
Centropus toulou
Centropus viridis
Cephalopterus penduliger
Cepphus columba
Cepphus grylle
Ceratogymna atrata
Ceratopipra chloromeros
Ceratopipra cornuta
Ceratopipra erythrocephala
Ceratopipra mentalis
Ceratopipra rubrocapilla
Cercibis oxycerca
Cercococcyx mechowi
Cercococcyx montanus
Cercococcyx olivinus
Cercomacra brasiliana
Cercomacra carbonaria
Cercomacra cinerascens
Cercomacra ferdinandi
Cercomacra manu
Cercomacra melanaria
Cercomacra nigricans
Cercomacroides fuscicauda
Cercomacroides laeta
Cercomacroides nigrescens
Cercomacroides parkeri
Cercomacroides serva
Cercomacroides tyrannina
Cercotrichas coryphoeus
Cercotrichas galactotes
Cercotrichas hartlaubi
Cercotrichas leucophrys
Cercotrichas paena
Cercotrichas podobe
Cercotrichas quadrivirgata
Cercotrichas signata
Certhia americana
Certhia brachydactyla
Certhia discolor
Certhia familiaris
Certhia himalayana
Certhia manipurensis
Certhiasomus stictolaemus
Certhiaxis cinnamomeus
Certhiaxis mustelinus
Certhilauda semitorquata
Certhilauda subcoronata
Certhionyx variegatus
Ceryle rudis
Cettia brunnifrons
Cettia castaneocoronata
Cettia cetti
Cettia major
Ceuthmochares aereus
Ceuthmochares australis
Ceyx azureus
Ceyx erithaca
Chaetocercus mulsant
Chaetornis striata
Chaetura brachyura
Chaetura cinereiventris
Chaetura meridionalis
Chaetura pelagica
Chaetura spinicaudus
Chaetura vauxi
Chalcomitra amethystina
Chalcomitra senegalensis
Chalcoparia singalensis
Chalcophaps indica
Chalcophaps longirostris
Chalcophaps stephani
Chalcopsitta cardinalis
Chalcostigma stanleyi
Chalybura buffonii
Chalybura urochrysia
Chamaea fasciata
Chamaepetes goudotii
Chamaetylas fuelleborni
Chamaeza campanisona
Chamaeza meruloides
Chamaeza mollissima
Chamaeza nobilis
Chamaeza ruficauda
Chamaeza turdina
Charadrius alexandrinus
Charadrius bicinctus
Charadrius collaris
Charadrius dubius
Charadrius hiaticula
Charadrius leschenaultii
Charadrius melodus
Charadrius modestus
Charadrius mongolus
Charadrius montanus
Charadrius morinellus
Charadrius nivosus
Charadrius placidus
Charadrius semipalmatus
Charadrius tricollaris
Charadrius vociferus
Charadrius wilsonia
Charitospiza eucosma
Charmosyna margarethae
Charmosyna placentis
Chasiempis sandwichensis
Chasiempis sclateri
Chauna chavaria
Chauna torquata
Chelidoptera tenebrosa
Chelidorhynx hypoxanthus
Chenonetta jubata
Chersophilus duponti
Chiroxiphia boliviana
Chiroxiphia caudata
Chiroxiphia lanceolata
Chiroxiphia linearis
Chiroxiphia pareola
Chlamydera maculata
Chlamydera nuchalis
Chlidonias hybrida
Chlidonias leucopterus
Chlidonias niger
Chloephaga picta
Chlorestes notata
Chloris chloris
Chloris monguilloti
Chloris sinica
Chloris spinoides
Chloroceryle aenea
Chloroceryle amazona
Chloroceryle americana
Chloroceryle inda
Chlorocharis emiliae
Chlorochrysa nitidissima
Chlorochrysa phoenicotis
Chlorocichla flaviventris
Chlorocichla simplex
Chlorodrepanis flava
Chlorodrepanis stejnegeri
Chlorodrepanis virens
Chlorophanes spiza
Chlorophonia callophrys
Chlorophonia cyanea
Chlorophonia flavirostris
Chlorophonia occipitalis
Chlorophonia pyrrhophrys
Chloropicus fuscescens
Chloropicus goertae
Chloropicus griseocephalus
Chloropicus namaquus
Chloropsis aurifrons
Chloropsis cochinchinensis
Chloropsis cyanopogon
Chloropsis hardwickii
Chloropsis jerdoni
Chlorornis riefferii
Chlorospingus canigularis
Chlorospingus flavigularis
Chlorospingus flavopectus
Chlorospingus flavovirens
Chlorospingus pileatus
Chlorospingus semifuscus
Chlorostilbon canivetii
Chlorostilbon gibsoni
Chlorostilbon lucidus
Chlorostilbon mellisugus
Chlorothraupis carmioli
Chlorothraupis frenata
Chlorothraupis olivacea
Chlorothraupis stolzmanni
Cholornis unicolor
Chondestes grammacus
Chondrohierax uncinatus
Chordeiles acutipennis
Chordeiles gundlachii
Chordeiles minor
Chordeiles nacunda
Chordeiles pusillus
Chroicocephalus cirrocephalus
Chroicocephalus genei
Chroicocephalus maculipennis
Chroicocephalus novaehollandiae
Chroicocephalus philadelphia
Chroicocephalus ridibundus
Chroicocephalus serranus
Chrysococcyx basalis
Chrysococcyx caprius
Chrysococcyx cupreus
Chrysococcyx klaas
Chrysococcyx lucidus
Chrysococcyx minutillus
Chrysococcyx osculans
Chrysococcyx xanthorhynchus
Chrysocolaptes festivus
Chrysocolaptes guttacristatus
Chrysolophus amherstiae
Chrysolophus pictus
Chrysomma altirostre
Chrysomma sinense
Chrysomus icterocephalus
Chrysomus ruficapillus
Chrysophlegma flavinucha
Chrysophlegma mentale
Chrysophlegma miniaceum
Chrysothlypis salmoni
Chrysuronia oenone
Chunga burmeisteri
Ciccaba albitarsis
Ciccaba huhula
Ciccaba nigrolineata
Ciccaba virgata
Cichladusa arquata
Cichladusa guttata
Cichlocolaptes leucophrus
Cichlopsis leucogenys
Cicinnurus magnificus
Cicinnurus regius
Cicinnurus respublica
Ciconia ciconia
Ciconia nigra
Cinclidium frontale
Cinclodes albidiventris
Cinclodes albiventris
Cinclodes excelsior
Cinclodes fuscus
Cinclodes oustaleti
Cinclodes pabsti
Cinclodes patagonicus
Cincloramphus cruralis
Cincloramphus macrurus
Cincloramphus mariei
Cincloramphus mathewsi
Cincloramphus timoriensis
Cinclosoma ajax
Cinclosoma punctatum
Cinclus cinclus
Cinclus mexicanus
Cinclus pallasii
Cinnycerthia olivascens
Cinnycerthia peruana
Cinnycerthia unirufa
